rec. loss: 0.040483	 rec. val: 0.029688	 adv. loss: 0.045367	 adv. val: 0.037596	 dsc. loss: 0.592703	 dsc. val: 0.717064
rec. loss: 0.025722	 rec. val: 0.024715	 adv. loss: 0.038143	 adv. val: 0.039778	 dsc. loss: 0.657384	 dsc. val: 0.690155
rec. loss: 0.022206	 rec. val: 0.022825	 adv. loss: 0.041822	 adv. val: 0.044721	 dsc. loss: 0.671402	 dsc. val: 0.689155
rec. loss: 0.020359	 rec. val: 0.021256	 adv. loss: 0.047214	 adv. val: 0.050745	 dsc. loss: 0.675535	 dsc. val: 0.683602
rec. loss: 0.019073	 rec. val: 0.021545	 adv. loss: 0.053303	 adv. val: 0.059401	 dsc. loss: 0.677132	 dsc. val: 0.683720
rec. loss: 0.018137	 rec. val: 0.019940	 adv. loss: 0.059762	 adv. val: 0.063201	 dsc. loss: 0.678047	 dsc. val: 0.686452
rec. loss: 0.017139	 rec. val: 0.021051	 adv. loss: 0.066109	 adv. val: 0.073232	 dsc. loss: 0.679022	 dsc. val: 0.682085
rec. loss: 0.016519	 rec. val: 0.017907	 adv. loss: 0.072982	 adv. val: 0.079806	 dsc. loss: 0.679121	 dsc. val: 0.684523
rec. loss: 0.016020	 rec. val: 0.019198	 adv. loss: 0.079940	 adv. val: 0.084704	 dsc. loss: 0.679372	 dsc. val: 0.682988
rec. loss: 0.015327	 rec. val: 0.017809	 adv. loss: 0.086625	 adv. val: 0.090040	 dsc. loss: 0.679867	 dsc. val: 0.684028
rec. loss: 0.014902	 rec. val: 0.018039	 adv. loss: 0.093593	 adv. val: 0.099204	 dsc. loss: 0.680168	 dsc. val: 0.681541
rec. loss: 0.014703	 rec. val: 0.017934	 adv. loss: 0.100977	 adv. val: 0.106735	 dsc. loss: 0.679951	 dsc. val: 0.681129
rec. loss: 0.014312	 rec. val: 0.017321	 adv. loss: 0.107906	 adv. val: 0.115210	 dsc. loss: 0.680394	 dsc. val: 0.681467
rec. loss: 0.014146	 rec. val: 0.017175	 adv. loss: 0.115283	 adv. val: 0.117639	 dsc. loss: 0.680380	 dsc. val: 0.685500
rec. loss: 0.013933	 rec. val: 0.016481	 adv. loss: 0.122516	 adv. val: 0.127342	 dsc. loss: 0.680454	 dsc. val: 0.680927
rec. loss: 0.013697	 rec. val: 0.016000	 adv. loss: 0.129685	 adv. val: 0.133785	 dsc. loss: 0.680669	 dsc. val: 0.681116
rec. loss: 0.013371	 rec. val: 0.016817	 adv. loss: 0.136782	 adv. val: 0.142902	 dsc. loss: 0.680696	 dsc. val: 0.680892
rec. loss: 0.013304	 rec. val: 0.016000	 adv. loss: 0.144308	 adv. val: 0.147219	 dsc. loss: 0.680576	 dsc. val: 0.682012
rec. loss: 0.013174	 rec. val: 0.016846	 adv. loss: 0.151604	 adv. val: 0.160820	 dsc. loss: 0.680694	 dsc. val: 0.682049
rec. loss: 0.012969	 rec. val: 0.016069	 adv. loss: 0.158843	 adv. val: 0.168288	 dsc. loss: 0.680823	 dsc. val: 0.682285
rec. loss: 0.012809	 rec. val: 0.016634	 adv. loss: 0.166150	 adv. val: 0.174045	 dsc. loss: 0.680779	 dsc. val: 0.681267
