rec. loss: 0.041879	 rec. val: 0.032771	 adv. loss: 0.055354	 adv. val: 0.034215	 dsc. loss: 0.242566	 dsc. val: 0.245215
rec. loss: 0.026692	 rec. val: 0.026216	 adv. loss: 0.040479	 adv. val: 0.027899	 dsc. loss: 0.228582	 dsc. val: 0.244714
rec. loss: 0.022904	 rec. val: 0.022903	 adv. loss: 0.036601	 adv. val: 0.024595	 dsc. loss: 0.231905	 dsc. val: 0.242264
rec. loss: 0.020729	 rec. val: 0.020002	 adv. loss: 0.034343	 adv. val: 0.021593	 dsc. loss: 0.233988	 dsc. val: 0.241856
rec. loss: 0.019301	 rec. val: 0.018968	 adv. loss: 0.032837	 adv. val: 0.020315	 dsc. loss: 0.235841	 dsc. val: 0.249094
rec. loss: 0.018318	 rec. val: 0.019617	 adv. loss: 0.031846	 adv. val: 0.021119	 dsc. loss: 0.235997	 dsc. val: 0.242330
rec. loss: 0.017474	 rec. val: 0.017426	 adv. loss: 0.030963	 adv. val: 0.018881	 dsc. loss: 0.236670	 dsc. val: 0.243051
rec. loss: 0.016749	 rec. val: 0.017171	 adv. loss: 0.030202	 adv. val: 0.018885	 dsc. loss: 0.237241	 dsc. val: 0.240901
rec. loss: 0.016187	 rec. val: 0.015704	 adv. loss: 0.029681	 adv. val: 0.017220	 dsc. loss: 0.237075	 dsc. val: 0.241112
rec. loss: 0.015696	 rec. val: 0.015512	 adv. loss: 0.029166	 adv. val: 0.016870	 dsc. loss: 0.237418	 dsc. val: 0.248708
rec. loss: 0.015264	 rec. val: 0.015212	 adv. loss: 0.028707	 adv. val: 0.016594	 dsc. loss: 0.237577	 dsc. val: 0.247974
rec. loss: 0.014857	 rec. val: 0.014543	 adv. loss: 0.028254	 adv. val: 0.015929	 dsc. loss: 0.237500	 dsc. val: 0.246429
rec. loss: 0.014485	 rec. val: 0.015550	 adv. loss: 0.027903	 adv. val: 0.016911	 dsc. loss: 0.237694	 dsc. val: 0.251442
rec. loss: 0.014200	 rec. val: 0.014538	 adv. loss: 0.027588	 adv. val: 0.016076	 dsc. loss: 0.237522	 dsc. val: 0.242430
rec. loss: 0.013841	 rec. val: 0.013629	 adv. loss: 0.027201	 adv. val: 0.015166	 dsc. loss: 0.237974	 dsc. val: 0.242502
rec. loss: 0.013609	 rec. val: 0.013758	 adv. loss: 0.026995	 adv. val: 0.015503	 dsc. loss: 0.237730	 dsc. val: 0.242181
rec. loss: 0.013397	 rec. val: 0.015144	 adv. loss: 0.026724	 adv. val: 0.016378	 dsc. loss: 0.238143	 dsc. val: 0.270675
rec. loss: 0.013179	 rec. val: 0.013415	 adv. loss: 0.026542	 adv. val: 0.014946	 dsc. loss: 0.237929	 dsc. val: 0.244745
rec. loss: 0.012941	 rec. val: 0.013243	 adv. loss: 0.026268	 adv. val: 0.014558	 dsc. loss: 0.238094	 dsc. val: 0.253729
rec. loss: 0.012765	 rec. val: 0.012868	 adv. loss: 0.026145	 adv. val: 0.014828	 dsc. loss: 0.237728	 dsc. val: 0.251162
rec. loss: 0.012609	 rec. val: 0.013077	 adv. loss: 0.026044	 adv. val: 0.014557	 dsc. loss: 0.237580	 dsc. val: 0.243493
rec. loss: 0.012428	 rec. val: 0.012635	 adv. loss: 0.025793	 adv. val: 0.014350	 dsc. loss: 0.237861	 dsc. val: 0.243016
rec. loss: 0.012284	 rec. val: 0.012167	 adv. loss: 0.025586	 adv. val: 0.014079	 dsc. loss: 0.237861	 dsc. val: 0.248525
rec. loss: 0.012125	 rec. val: 0.012284	 adv. loss: 0.025366	 adv. val: 0.013996	 dsc. loss: 0.238083	 dsc. val: 0.244501
rec. loss: 0.012005	 rec. val: 0.012369	 adv. loss: 0.025343	 adv. val: 0.013892	 dsc. loss: 0.237967	 dsc. val: 0.241472
rec. loss: 0.011905	 rec. val: 0.012421	 adv. loss: 0.025186	 adv. val: 0.014107	 dsc. loss: 0.238037	 dsc. val: 0.241107
rec. loss: 0.011797	 rec. val: 0.012746	 adv. loss: 0.025114	 adv. val: 0.014269	 dsc. loss: 0.238085	 dsc. val: 0.241257
rec. loss: 0.011679	 rec. val: 0.011448	 adv. loss: 0.024968	 adv. val: 0.012943	 dsc. loss: 0.238098	 dsc. val: 0.242253
rec. loss: 0.011563	 rec. val: 0.012178	 adv. loss: 0.024803	 adv. val: 0.013746	 dsc. loss: 0.238226	 dsc. val: 0.240651
rec. loss: 0.011469	 rec. val: 0.012806	 adv. loss: 0.024755	 adv. val: 0.014468	 dsc. loss: 0.237840	 dsc. val: 0.241405
rec. loss: 0.011379	 rec. val: 0.011648	 adv. loss: 0.024661	 adv. val: 0.013507	 dsc. loss: 0.238086	 dsc. val: 0.246068
rec. loss: 0.011279	 rec. val: 0.012830	 adv. loss: 0.024492	 adv. val: 0.014384	 dsc. loss: 0.238323	 dsc. val: 0.244877
rec. loss: 0.011212	 rec. val: 0.011809	 adv. loss: 0.024482	 adv. val: 0.013161	 dsc. loss: 0.237877	 dsc. val: 0.249023
rec. loss: 0.011131	 rec. val: 0.011358	 adv. loss: 0.024403	 adv. val: 0.012738	 dsc. loss: 0.237659	 dsc. val: 0.246608
rec. loss: 0.011042	 rec. val: 0.011319	 adv. loss: 0.024280	 adv. val: 0.013025	 dsc. loss: 0.237758	 dsc. val: 0.242930
rec. loss: 0.010950	 rec. val: 0.011462	 adv. loss: 0.024179	 adv. val: 0.013098	 dsc. loss: 0.238159	 dsc. val: 0.239988
rec. loss: 0.010865	 rec. val: 0.010772	 adv. loss: 0.024063	 adv. val: 0.012316	 dsc. loss: 0.237887	 dsc. val: 0.240368
rec. loss: 0.010801	 rec. val: 0.010704	 adv. loss: 0.024001	 adv. val: 0.012360	 dsc. loss: 0.237798	 dsc. val: 0.241354
rec. loss: 0.010734	 rec. val: 0.011012	 adv. loss: 0.024010	 adv. val: 0.012580	 dsc. loss: 0.238115	 dsc. val: 0.242577
rec. loss: 0.010655	 rec. val: 0.011449	 adv. loss: 0.023931	 adv. val: 0.013268	 dsc. loss: 0.237740	 dsc. val: 0.245389
rec. loss: 0.010601	 rec. val: 0.010828	 adv. loss: 0.023791	 adv. val: 0.012295	 dsc. loss: 0.237856	 dsc. val: 0.243499
rec. loss: 0.010525	 rec. val: 0.010720	 adv. loss: 0.023738	 adv. val: 0.012222	 dsc. loss: 0.237890	 dsc. val: 0.241647
rec. loss: 0.010449	 rec. val: 0.010431	 adv. loss: 0.023710	 adv. val: 0.012080	 dsc. loss: 0.237513	 dsc. val: 0.240601
rec. loss: 0.010384	 rec. val: 0.011203	 adv. loss: 0.023632	 adv. val: 0.012889	 dsc. loss: 0.237790	 dsc. val: 0.240505
rec. loss: 0.010327	 rec. val: 0.010669	 adv. loss: 0.023573	 adv. val: 0.012213	 dsc. loss: 0.237670	 dsc. val: 0.241238
