
rec. loss: 0.038968	 rec. val: 0.027174	 adv. loss: 0.043105	 adv. val: 0.027628	 dsc. loss: 0.642714	 dsc. val: 0.712940
rec. loss: 0.023149	 rec. val: 0.021173	 adv. loss: 0.027199	 adv. val: 0.021617	 dsc. loss: 0.643330	 dsc. val: 0.727963
rec. loss: 0.019726	 rec. val: 0.020477	 adv. loss: 0.023707	 adv. val: 0.020954	 dsc. loss: 0.649385	 dsc. val: 0.736888
rec. loss: 0.018003	 rec. val: 0.020110	 adv. loss: 0.021935	 adv. val: 0.020559	 dsc. loss: 0.655629	 dsc. val: 0.706865
rec. loss: 0.016765	 rec. val: 0.018655	 adv. loss: 0.020673	 adv. val: 0.019090	 dsc. loss: 0.658619	 dsc. val: 0.704349
rec. loss: 0.015847	 rec. val: 0.018943	 adv. loss: 0.019733	 adv. val: 0.019380	 dsc. loss: 0.661360	 dsc. val: 0.711757
rec. loss: 0.015172	 rec. val: 0.018581	 adv. loss: 0.019045	 adv. val: 0.019019	 dsc. loss: 0.662715	 dsc. val: 0.698535
rec. loss: 0.014597	 rec. val: 0.017367	 adv. loss: 0.018454	 adv. val: 0.017804	 dsc. loss: 0.664610	 dsc. val: 0.701960
rec. loss: 0.014112	 rec. val: 0.017746	 adv. loss: 0.017969	 adv. val: 0.018193	 dsc. loss: 0.665120	 dsc. val: 0.704060
rec. loss: 0.013691	 rec. val: 0.017543	 adv. loss: 0.017544	 adv. val: 0.017981	 dsc. loss: 0.666265	 dsc. val: 0.699063
rec. loss: 0.013355	 rec. val: 0.017245	 adv. loss: 0.017200	 adv. val: 0.017680	 dsc. loss: 0.667062	 dsc. val: 0.699870
rec. loss: 0.013037	 rec. val: 0.016274	 adv. loss: 0.016875	 adv. val: 0.016721	 dsc. loss: 0.667141	 dsc. val: 0.705727
rec. loss: 0.012791	 rec. val: 0.016782	 adv. loss: 0.016627	 adv. val: 0.017217	 dsc. loss: 0.667198	 dsc. val: 0.701184
rec. loss: 0.012541	 rec. val: 0.016694	 adv. loss: 0.016370	 adv. val: 0.017128	 dsc. loss: 0.668017	 dsc. val: 0.698252
rec. loss: 0.012294	 rec. val: 0.015673	 adv. loss: 0.016118	 adv. val: 0.016107	 dsc. loss: 0.668574	 dsc. val: 0.702166
rec. loss: 0.012088	 rec. val: 0.016518	 adv. loss: 0.015904	 adv. val: 0.016985	 dsc. loss: 0.669607	 dsc. val: 0.724767
rec. loss: 0.011883	 rec. val: 0.015364	 adv. loss: 0.015698	 adv. val: 0.015798	 dsc. loss: 0.669035	 dsc. val: 0.698451
rec. loss: 0.011720	 rec. val: 0.016861	 adv. loss: 0.015541	 adv. val: 0.017300	 dsc. loss: 0.668957	 dsc. val: 0.697716
rec. loss: 0.011547	 rec. val: 0.015713	 adv. loss: 0.015363	 adv. val: 0.016183	 dsc. loss: 0.670333	 dsc. val: 0.731957
rec. loss: 0.011409	 rec. val: 0.015946	 adv. loss: 0.015223	 adv. val: 0.016393	 dsc. loss: 0.670273	 dsc. val: 0.704234
rec. loss: 0.011269	 rec. val: 0.016178	 adv. loss: 0.015085	 adv. val: 0.016612	 dsc. loss: 0.670680	 dsc. val: 0.705454
rec. loss: 0.011154	 rec. val: 0.015302	 adv. loss: 0.014965	 adv. val: 0.015741	 dsc. loss: 0.670641	 dsc. val: 0.698201
rec. loss: 0.011035	 rec. val: 0.015970	 adv. loss: 0.014848	 adv. val: 0.016406	 dsc. loss: 0.670775	 dsc. val: 0.697498
rec. loss: 0.010952	 rec. val: 0.015935	 adv. loss: 0.014763	 adv. val: 0.016371	 dsc. loss: 0.671101	 dsc. val: 0.709348
rec. loss: 0.010833	 rec. val: 0.015387	 adv. loss: 0.014641	 adv. val: 0.015824	 dsc. loss: 0.671549	 dsc. val: 0.700876
